timestamp_utc,hostname,client_id,client_private_ip,scenario,cpu_percent,cpu_freq_mhz,ram_percent,loadavg_1m,disk_read_Bps,disk_write_Bps,net_tx_Bps,net_rx_Bps,disk_read_bytes_total,disk_write_bytes_total,net_tx_bytes_total,net_rx_bytes_total,ping_rtt_ms,ping_jitter_ms,ping_loss_pct
2026-01-24T23:16:30.524092+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.00,,21.50,0.000,0.00,0.00,0.00,0.00,1114352640,3800254464,20982975,261736965,999.000,0.000,100.00
2026-01-24T23:16:33.532510+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.30,,21.50,0.000,0.00,0.00,4301.38,5769.74,1114352640,3800254464,20995917,261754325,999.000,0.000,100.00
2026-01-24T23:16:36.541126+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.00,,21.50,0.000,0.00,0.00,97.73,0.00,1114352640,3800254464,20996211,261754325,999.000,0.000,100.00
2026-01-24T23:16:39.549510+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.50,,21.60,0.000,21782.91,0.00,2911.66,3267.97,1114418176,3800254464,21004971,261764157,999.000,0.000,100.00
2026-01-24T23:16:42.558163+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.20,,21.60,0.000,0.00,0.00,1348.22,1692.59,1114418176,3800254464,21009027,261769249,999.000,0.000,100.00
2026-01-24T23:16:45.566704+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.20,,21.60,0.000,0.00,0.00,97.72,0.00,1114418176,3800254464,21009321,261769249,999.000,0.000,100.00
2026-01-24T23:16:48.575250+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.20,,21.60,0.000,0.00,0.00,97.72,0.00,1114418176,3800254464,21009615,261769249,999.000,0.000,100.00
2026-01-24T23:16:51.584217+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.20,,21.60,0.000,0.00,0.00,97.72,0.00,1114418176,3800254464,21009909,261769249,999.000,0.000,100.00
2026-01-24T23:16:54.592819+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.00,,21.60,0.000,0.00,0.00,97.71,0.00,1114418176,3800254464,21010203,261769249,999.000,0.000,100.00
2026-01-24T23:16:57.601342+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.30,,21.60,0.000,0.00,0.00,157.55,25.26,1114418176,3800254464,21010677,261769325,999.000,0.000,100.00
2026-01-24T23:17:00.609822+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.20,,21.60,0.000,0.00,0.00,97.72,0.00,1114418176,3800254464,21010971,261769325,999.000,0.000,100.00
2026-01-24T23:17:03.619290+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.00,,21.50,0.000,0.00,40844.89,97.72,0.00,1114418176,3800377344,21011265,261769325,999.000,0.000,100.00
2026-01-24T23:17:06.628905+00:00,ip-172-31-29-86,client2,172.31.29.86,normal,0.30,,21.50,0.000,0.00,19054.29,97.69,0.00,1114418176,3800434688,21011559,261769325,999.000,0.000,100.00
